id,substation_id,name,type,longitude,latitude,string,order,distance,subassembly,upstream_cable
OSS1,OSS1,OSS1,substation,0,0,,,,lbw_substation_500MW.yaml,export_220kv_1000mm.yaml
S00T1,OSS1,S00T1,turbine,0,0,0,0,0,ATB3_3_base-case-3.yaml,array_66kV_630mm.yaml
S00T2,OSS1,S00T2,turbine,0,0,0,1,0,ATB3_3_base-case-3.yaml,array_66kV_630mm.yaml
S00T3,OSS1,S00T3,turbine,0,0,0,2,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S00T4,OSS1,S00T4,turbine,0,0,0,3,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S00T5,OSS1,S00T5,turbine,0,0,0,4,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S01T1,OSS1,S01T1,turbine,0,0,1,0,0,ATB3_3_base-case-3.yaml,array_66kV_630mm.yaml
S01T2,OSS1,S01T2,turbine,0,0,1,1,0,ATB3_3_base-case-3.yaml,array_66kV_630mm.yaml
S01T3,OSS1,S01T3,turbine,0,0,1,2,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S01T4,OSS1,S01T4,turbine,0,0,1,3,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S01T5,OSS1,S01T5,turbine,0,0,1,4,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S02T1,OSS1,S02T1,turbine,0,0,2,0,0,ATB3_3_base-case-3.yaml,array_66kV_630mm.yaml
S02T2,OSS1,S02T2,turbine,0,0,2,1,0,ATB3_3_base-case-3.yaml,array_66kV_630mm.yaml
S02T3,OSS1,S02T3,turbine,0,0,2,2,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S02T4,OSS1,S02T4,turbine,0,0,2,3,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S02T5,OSS1,S02T5,turbine,0,0,2,4,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S03T1,OSS1,S03T1,turbine,0,0,3,0,0,ATB3_3_base-case-3.yaml,array_66kV_630mm.yaml
S03T2,OSS1,S03T2,turbine,0,0,3,1,0,ATB3_3_base-case-3.yaml,array_66kV_630mm.yaml
S03T3,OSS1,S03T3,turbine,0,0,3,2,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S03T4,OSS1,S03T4,turbine,0,0,3,3,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S03T5,OSS1,S03T5,turbine,0,0,3,4,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S04T1,OSS1,S04T1,turbine,0,0,4,0,0,ATB3_3_base-case-3.yaml,array_66kV_630mm.yaml
S04T2,OSS1,S04T2,turbine,0,0,4,1,0,ATB3_3_base-case-3.yaml,array_66kV_630mm.yaml
S04T3,OSS1,S04T3,turbine,0,0,4,2,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S04T4,OSS1,S04T4,turbine,0,0,4,3,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S04T5,OSS1,S04T5,turbine,0,0,4,4,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S04T6,OSS1,S04T6,turbine,0,0,4,5,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S05T1,OSS1,S05T1,turbine,0,0,5,0,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S05T2,OSS1,S05T2,turbine,0,0,5,1,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S05T3,OSS1,S05T3,turbine,0,0,5,2,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S05T4,OSS1,S05T4,turbine,0,0,5,3,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S05T5,OSS1,S05T5,turbine,0,0,5,4,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S05T6,OSS1,S05T6,turbine,0,0,5,5,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S06T1,OSS1,S06T1,turbine,0,0,6,0,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S06T2,OSS1,S06T2,turbine,0,0,6,1,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S06T3,OSS1,S06T3,turbine,0,0,6,2,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S06T4,OSS1,S06T4,turbine,0,0,6,3,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S06T5,OSS1,S06T5,turbine,0,0,6,4,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S06T6,OSS1,S06T6,turbine,0,0,6,5,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S07T1,OSS1,S07T1,turbine,0,0,7,0,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S07T2,OSS1,S07T2,turbine,0,0,7,1,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S07T3,OSS1,S07T3,turbine,0,0,7,2,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S07T4,OSS1,S07T4,turbine,0,0,7,3,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S07T5,OSS1,S07T5,turbine,0,0,7,4,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S07T6,OSS1,S07T6,turbine,0,0,7,5,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S08T1,OSS1,S08T1,turbine,0,0,8,0,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S08T2,OSS1,S08T2,turbine,0,0,8,1,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S08T3,OSS1,S08T3,turbine,0,0,8,2,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S08T4,OSS1,S08T4,turbine,0,0,8,3,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S08T5,OSS1,S08T5,turbine,0,0,8,4,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S08T6,OSS1,S08T6,turbine,0,0,8,5,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S09T1,OSS1,S09T1,turbine,0,0,9,0,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S09T2,OSS1,S09T2,turbine,0,0,9,1,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S09T3,OSS1,S09T3,turbine,0,0,9,2,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S09T4,OSS1,S09T4,turbine,0,0,9,3,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S09T5,OSS1,S09T5,turbine,0,0,9,4,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S09T6,OSS1,S09T6,turbine,0,0,9,5,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S10T1,OSS1,S10T1,turbine,0,0,10,0,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S10T2,OSS1,S10T2,turbine,0,0,10,1,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S10T3,OSS1,S10T3,turbine,0,0,10,2,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S10T4,OSS1,S10T4,turbine,0,0,10,3,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
S10T5,OSS1,S10T5,turbine,0,0,10,4,0,ATB3_3_base-case-3.yaml,array_66kV_185mm.yaml
