run,random_seed,year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
1,1,2017,5104968.0,0.0,2178400.123722222,0,831535,8114903.123722222
1,1,2018,5104968.0,0.0,1695990.1763888889,0,1744208,8545166.17638889
1,1,2019,5104968.0,0.0,1548794.3219907407,0,1387502,8041264.3219907405
1,1,2020,5118954.21369863,0.0,1552634.481712963,0,1519167,8190755.695411593
1,1,2021,5104968.0,0.0,1695990.437037037,0,1040258,7841216.437037037
1,1,2022,5104968.0,0.0,2501499.9684722223,0,1886762,9493229.968472222
1,1,2023,5104968.0,0.0,1548793.5708333333,0,1357102,8010863.570833333
1,1,2024,5118954.21369863,0.0,2449620.907222222,0,1600748,9169323.120920852
1,1,2025,5104968.0,0.0,1695990.35625,0,1315828,8116786.35625
1,1,2026,5104968.0,0.0,1695988.9701388888,0,1891277,8692233.970138889
1,1,2027,5104968.0,0.0,1695988.5564814815,0,1580839,8381795.5564814815
1,1,2028,5118954.21369863,0.0,1699830.124537037,0,1207202,8025986.338235667
1,1,2029,5104968.0,0.0,1548794.669675926,0,1380116,8033878.669675926
1,1,2030,5104968.0,0.0,2320955.5984074073,0,1511340,8937263.598407406
1,1,2031,5104968.0,0.0,2433611.286648148,0,1373597,8912176.286648149
1,1,2032,5118954.21369863,0.0,1699829.9125,0,1642309,8461093.12619863
1,1,2033,5104968.0,0.0,1695989.5657407409,0,1506961,8307918.565740741
1,1,2034,5104968.0,0.0,1695990.1358796295,0,1793840,8594798.13587963
1,1,2035,5104968.0,0.0,1695989.9650462964,0,1504499,8305456.965046296
1,1,2036,5118954.21369863,0.0,1699830.2828703704,0,1325344,8144128.496569
1,1,2037,5104968.0,0.0,1695991.1875,0,1022883,7823842.1875
1,1,2038,5104968.0,0.0,1695989.1875,0,1645705,8446662.1875
1,1,2039,5104968.0,0.0,1548793.8849537037,0,1120655,7774416.884953704
1,1,2040,5118954.21369863,0.0,1699828.3203703703,0,1604028,8422810.534069
1,1,2041,5104968.0,0.0,2473000.3155185184,0,1449277,9027245.315518519
1,1,2042,5104968.0,0.0,1695989.7708333333,0,949099,7750056.770833333
1,1,2043,5104968.0,0.0,1695989.963888889,0,1586773,8387730.963888889
1,1,2044,5118954.21369863,0.0,1699830.130787037,0,1257468,8076252.3444856675
1,1,2045,5104968.0,0.0,1843186.6918981483,0,1299254,8247408.6918981485
1,1,2046,5104968.0,0.0,1843186.1425925926,0,1745101,8693255.142592592
2,2,2017,5104968.0,0.0,1426694.048611111,0,782968,7314630.048611111
2,2,2018,5104968.0,0.0,1695989.1081018518,0,1800637,8601594.108101852
2,2,2019,5104968.0,0.0,1695988.9361111112,0,1706539,8507495.936111111
2,2,2020,5118954.21369863,0.0,1847026.2018518518,0,1345491,8311471.4155504815
2,2,2021,5104968.0,0.0,1548794.1011574075,0,1540208,8193970.101157407
2,2,2022,5104968.0,0.0,1695990.6828703703,0,1283279,8084237.68287037
2,2,2023,5104968.0,0.0,1548794.4083333334,0,1458647,8112409.408333333
2,2,2024,5118954.21369863,0.0,1552634.2530092592,0,1408208,8079796.466707889
2,2,2025,5104968.0,0.0,1548794.8840277777,0,1243813,7897575.884027777
2,2,2026,5104968.0,0.0,2457941.621787037,0,1540795,9103704.621787038
2,2,2027,5104968.0,0.0,1695990.2530092592,0,1063268,7864226.25300926
2,2,2028,5118954.21369863,0.0,1699829.825925926,0,1510339,8329123.039624556
2,2,2029,5104968.0,0.0,1548793.7965277778,0,1408601,8062362.796527778
2,2,2030,5104968.0,0.0,1548793.4706018518,0,1798807,8452568.470601851
2,2,2031,5104968.0,0.0,1695989.7055555556,0,1239136,8040093.705555555
2,2,2032,5118954.21369863,0.0,1699828.835648148,0,1562354,8381137.049346779
2,2,2033,5104968.0,0.0,1695990.4335648147,0,1265908,8066866.433564815
2,2,2034,5104968.0,0.0,1695989.148611111,0,1251938,8052895.148611112
2,2,2035,5104968.0,0.0,1843185.8122685186,0,1605615,8553768.812268518
2,2,2036,5118954.21369863,0.0,1552633.7847222222,0,1169780,7841367.998420852
2,2,2037,5104968.0,0.0,1843186.8409722222,0,1746645,8694799.840972222
2,2,2038,5104968.0,0.0,1548794.6386574074,0,1427910,8081672.638657408
2,2,2039,5104968.0,0.0,1695990.8064814815,0,1756464,8557422.80648148
2,2,2040,5118954.21369863,0.0,1699830.2474537038,0,1254419,8073203.461152334
2,2,2041,5104968.0,0.0,2599049.8360555554,0,1787650,9491667.836055554
2,2,2042,5104968.0,0.0,2308414.055027778,0,1095558,8508940.055027777
2,2,2043,5104968.0,0.0,1695989.1134259258,0,1422409,8223366.113425925
2,2,2044,5118954.21369863,0.0,1846124.0766203704,0,1559051,8524129.290319001
2,2,2045,5104968.0,0.0,1548794.2828703704,0,1376886,8030648.282870371
2,2,2046,5104968.0,0.0,2876814.527222222,0,1596885,9578667.527222222
3,3,2017,5104968.0,0.0,1682270.50625,0,918341,7705579.50625
3,3,2018,5104968.0,0.0,1548795.3666666667,0,1150665,7804428.366666667
3,3,2019,5104968.0,0.0,1695990.7027777778,0,1338134,8139092.702777778
3,3,2020,5118954.21369863,0.0,1552634.8453703704,0,1434895,8106484.059069
3,3,2021,5104968.0,0.0,1548792.9523148148,0,1712212,8365972.952314815
3,3,2022,5104968.0,0.0,1695990.1127314814,0,1563819,8364777.112731481
3,3,2023,5104968.0,0.0,2414892.5481574074,0,1208882,8728742.548157407
3,3,2024,5118954.21369863,0.0,2344197.962990741,0,1347139,8810291.176689371
3,3,2025,5104968.0,0.0,1866313.8474537036,0,1506240,8477521.847453704
3,3,2026,5104968.0,0.0,2798837.622314815,0,1981507,9885312.622314814
3,3,2027,5104968.0,0.0,2599966.069296296,0,1338905,9043839.069296297
3,3,2028,5118954.21369863,0.0,1552634.1708333334,0,1091318,7762906.384531964
3,3,2029,5104968.0,0.0,1548794.023148148,0,1750437,8404199.023148147
3,3,2030,5104968.0,0.0,1695990.2868055555,0,1571679,8372637.286805555
3,3,2031,5104968.0,0.0,2330015.86025,0,1600706,9035689.86025
3,3,2032,5118954.21369863,0.0,1518929.7395833333,0,1495804,8133687.953281963
3,3,2033,5104968.0,0.0,1858192.4738425927,0,1309291,8272451.473842593
3,3,2034,5104968.0,0.0,1861885.7363425926,0,1070712,8037565.736342592
3,3,2035,5104968.0,0.0,1695990.7930555556,0,1400252,8201210.793055556
3,3,2036,5118954.21369863,0.0,1699830.463888889,0,1912784,8731568.677587518
3,3,2037,5104968.0,0.0,1695988.6162037037,0,834131,7635087.616203704
3,3,2038,5104968.0,0.0,2501016.1650185185,0,1899863,9505847.165018518
3,3,2039,5104968.0,0.0,1695991.0046296297,0,1220280,8021239.00462963
3,3,2040,5118954.21369863,0.0,1699830.2391203705,0,1575929,8394713.452819
3,3,2041,5104968.0,0.0,3460254.405203704,0,1665498,10230720.405203704
3,3,2042,5104968.0,0.0,1695990.7567129629,0,1261465,8062423.756712963
3,3,2043,5104968.0,0.0,2482374.743,0,1596460,9183802.743
3,3,2044,5118954.21369863,0.0,1699831.2018518518,0,1341519,8160304.4155504815
3,3,2045,5104968.0,0.0,3875421.4425925924,0,1648266,10628655.442592593
3,3,2046,5104968.0,0.0,1548794.933101852,0,1288652,7942414.9331018515
4,4,2017,5104968.0,0.0,1474452.0472222222,0,837564,7416984.047222222
4,4,2018,5104968.0,0.0,1843185.7398148149,0,1596274,8544427.739814814
4,4,2019,5104968.0,0.0,1695989.4043981482,0,1238118,8039075.404398148
4,4,2020,5118954.21369863,0.0,1552634.1810185185,0,1418896,8090484.3947171485
4,4,2021,5104968.0,0.0,1695989.6391203704,0,1366306,8167263.63912037
4,4,2022,5104968.0,0.0,1695990.5122685186,0,1906244,8707202.512268519
4,4,2023,5104968.0,0.0,1843185.2150462964,0,1230797,8178950.215046296
4,4,2024,5118954.21369863,0.0,2272301.6406851853,0,1073723,8464978.854383815
4,4,2025,5104968.0,0.0,2670954.452138889,0,1585876,9361798.45213889
4,4,2026,5104968.0,0.0,1548794.9743055555,0,1799664,8453426.974305555
4,4,2027,5104968.0,0.0,1548794.3847222223,0,1411955,8065717.384722223
4,4,2028,5118954.21369863,0.0,2673341.350675926,0,1905940,9698235.564374557
4,4,2029,5104968.0,0.0,1695989.407175926,0,1243014,8043971.4071759265
4,4,2030,5104968.0,0.0,1548794.2333333334,0,1394204,8047966.233333333
4,4,2031,5104968.0,0.0,1548794.3819444445,0,1456081,8109843.381944444
4,4,2032,5118954.21369863,0.0,1699829.4104166667,0,1189001,8007784.624115297
4,4,2033,5104968.0,0.0,1695991.0414351851,0,1579110,8380069.041435185
4,4,2034,5104968.0,0.0,1401598.3726851852,0,1044913,7551479.372685185
4,4,2035,5104968.0,0.0,3555567.4687777776,0,1616696,10277231.468777778
4,4,2036,5118954.21369863,0.0,1699830.0291666666,0,1608093,8426877.242865296
4,4,2037,5104968.0,0.0,1548794.2583333333,0,1139687,7793449.258333333
4,4,2038,5104968.0,0.0,1695991.2627314816,0,1213824,8014783.262731481
4,4,2039,5104968.0,0.0,2440116.309537037,0,1345976,8891060.309537036
4,4,2040,5118954.21369863,0.0,1699829.651388889,0,1844760,8663543.865087518
4,4,2041,5104968.0,0.0,1695989.9516203704,0,1438817,8239774.95162037
4,4,2042,5104968.0,0.0,2536445.623462963,0,1674698,9316111.623462964
4,4,2043,5104968.0,0.0,1695991.116898148,0,1299348,8100307.116898148
4,4,2044,5118954.21369863,0.0,1699827.6143518519,0,1226641,8045422.828050482
4,4,2045,5104968.0,0.0,1695989.500925926,0,1614196,8415153.500925926
4,4,2046,5104968.0,0.0,1695990.223611111,0,1493910,8294868.223611111
5,5,2017,5104968.0,0.0,1292364.9518518518,0,601813,6999145.951851852
5,5,2018,5104968.0,0.0,1695988.7342592592,0,1793742,8594698.734259259
5,5,2019,5104968.0,0.0,1695988.6407407408,0,1405023,8205979.640740741
5,5,2020,5118954.21369863,0.0,1699830.2881944445,0,1750109,8568893.501893075
5,5,2021,5104968.0,0.0,1401598.3333333333,0,1043724,7550290.333333333
5,5,2022,5104968.0,0.0,1843185.586574074,0,1882800,8830953.586574074
5,5,2023,5104968.0,0.0,1548793.5611111112,0,1394944,8048705.561111111
5,5,2024,5118954.21369863,0.0,1699829.3296296296,0,1569825,8388608.54332826
5,5,2025,5104968.0,0.0,1511939.4837962964,0,1850071,8466978.483796297
5,5,2026,5104968.0,0.0,1732845.883101852,0,1169380,8007193.883101852
5,5,2027,5104968.0,0.0,3363360.482611111,0,1606069,10074397.48261111
5,5,2028,5118954.21369863,0.0,1616138.2810185186,0,1515841,8250933.494717149
5,5,2029,5104968.0,0.0,1687842.1282407409,0,1475846,8268656.128240741
5,5,2030,5104968.0,0.0,1548793.9300925925,0,1760878,8414639.930092592
5,5,2031,5104968.0,0.0,2350121.3193055554,0,1175797,8630886.319305556
5,5,2032,5118954.21369863,0.0,2503839.625601852,0,1687843,9310636.839300482
5,5,2033,5104968.0,0.0,2662376.5125925927,0,1524113,9291457.512592593
5,5,2034,5104968.0,0.0,1548794.2034722222,0,1400414,8054176.203472222
5,5,2035,5104968.0,0.0,2472101.6403148146,0,1717696,9294765.640314814
5,5,2036,5118954.21369863,0.0,1667626.040972222,0,1323556,8110136.254670853
5,5,2037,5104968.0,0.0,1581000.3094907408,0,1047853,7733821.30949074
5,5,2038,5104968.0,0.0,1695989.8960648149,0,1503693,8304650.896064815
5,5,2039,5104968.0,0.0,2478834.0265833335,0,1326015,8909817.026583333
5,5,2040,5118954.21369863,0.0,1552633.9252314814,0,1606452,8278040.138930112
5,5,2041,5104968.0,0.0,2574875.2231851853,0,1385156,9064999.223185185
5,5,2042,5104968.0,0.0,1843185.186574074,0,1250146,8198299.1865740735
5,5,2043,5104968.0,0.0,1548793.7488425926,0,1243899,7897660.748842592
5,5,2044,5118954.21369863,0.0,1699830.286111111,0,1310514,8129298.499809741
5,5,2045,5104968.0,0.0,1695990.3414351852,0,1500107,8301065.341435185
5,5,2046,5104968.0,0.0,1695990.4222222222,0,1581921,8382879.422222222
6,6,2017,5104968.0,0.0,1531747.6261574074,0,726151,7362866.626157408
6,6,2018,5104968.0,0.0,1695990.6604166667,0,1774592,8575550.660416666
6,6,2019,5104968.0,0.0,1695989.5131944444,0,1361100,8162057.513194445
6,6,2020,5118954.21369863,0.0,1699830.5821759258,0,1648489,8467273.795874557
6,6,2021,5104968.0,0.0,1695990.6886574074,0,1515229,8316187.688657408
6,6,2022,5104968.0,0.0,1511782.2523148148,0,1858588,8475338.252314815
6,6,2023,5104968.0,0.0,1733003.8747685186,0,1144208,7982179.874768519
6,6,2024,5118954.21369863,0.0,2294495.3413981483,0,1798904,9212353.555096779
6,6,2025,5104968.0,0.0,1695990.2798611112,0,1489413,8290371.279861111
6,6,2026,5104968.0,0.0,2203978.6374814813,0,1098224,8407170.63748148
6,6,2027,5104968.0,0.0,1695990.3331018519,0,1906991,8707949.333101852
6,6,2028,5118954.21369863,0.0,1699829.568287037,0,1290626,8109409.7819856675
6,6,2029,5104968.0,0.0,1695990.0546296297,0,1831702,8632660.05462963
6,6,2030,5104968.0,0.0,1695989.7412037037,0,1204587,8005544.741203704
6,6,2031,5104968.0,0.0,1548794.898148148,0,1408921,8062683.898148148
6,6,2032,5118954.21369863,0.0,1552634.7469907408,0,1131276,7802864.960689371
6,6,2033,5104968.0,0.0,2689011.7500555557,0,1610403,9404382.750055555
6,6,2034,5104968.0,0.0,1695989.9747685185,0,1730362,8531319.97476852
6,6,2035,5104968.0,0.0,1839998.1243055556,0,1603730,8548696.124305556
6,6,2036,5118954.21369863,0.0,1552634.3574074074,0,1231039,7902627.571106037
6,6,2037,5104968.0,0.0,1843030.6993055556,0,1292372,8240370.699305556
6,6,2038,5104968.0,0.0,3426718.213324074,0,1600529,10132215.213324074
6,6,2039,5104968.0,0.0,1772195.5587962964,0,1554916,8432079.558796296
6,6,2040,5118954.21369863,0.0,3447848.6311574075,0,1594992,10161794.844856039
6,6,2041,5104968.0,0.0,1548794.6824074073,0,1436739,8090501.682407407
6,6,2042,5104968.0,0.0,2289090.2845555553,0,1516685,8910743.284555554
6,6,2043,5104968.0,0.0,1843188.100462963,0,1379137,8327293.100462963
6,6,2044,5118954.21369863,0.0,1552635.2872685185,0,1368989,8040578.500967149
6,6,2045,5104968.0,0.0,1695991.7085648149,0,1473864,8274823.708564815
6,6,2046,5104968.0,0.0,1548793.8817129629,0,1422573,8076334.881712963
7,7,2017,5104968.0,0.0,1459541.1118055556,0,778821,7343330.111805555
7,7,2018,5104968.0,0.0,1695990.5164351852,0,1473861,8274819.516435185
7,7,2019,5104968.0,0.0,1548793.642361111,0,1389503,8043264.642361111
7,7,2020,5118954.21369863,0.0,1552634.2287037037,0,1417700,8089288.442402334
7,7,2021,5104968.0,0.0,1695990.2243055555,0,1800313,8601271.224305555
7,7,2022,5104968.0,0.0,1843186.1708333334,0,1318038,8266192.170833333
7,7,2023,5104968.0,0.0,2490358.0785,0,1597865,9193191.078499999
7,7,2024,5118954.21369863,0.0,1699831.4722222222,0,1500413,8319198.685920852
7,7,2025,5104968.0,0.0,2540923.194175926,0,1830608,9476499.194175925
7,7,2026,5104968.0,0.0,2321105.9523703703,0,1408377,8834450.95237037
7,7,2027,5104968.0,0.0,2366077.893824074,0,1527651,8998696.893824074
7,7,2028,5118954.21369863,0.0,1699830.6208333333,0,1515904,8334688.834531964
7,7,2029,5104968.0,0.0,1695991.5789351852,0,1488658,8289617.578935185
7,7,2030,5104968.0,0.0,3470345.6071666665,0,1934113,10509426.607166667
7,7,2031,5104968.0,0.0,1695989.4347222222,0,1081162,7882119.434722222
7,7,2032,5118954.21369863,0.0,1699830.242361111,0,1587307,8406091.45605974
7,7,2033,5104968.0,0.0,1806842.5747685186,0,1290418,8202228.574768519
7,7,2034,5104968.0,0.0,1732333.6550925926,0,1105732,7943033.655092592
7,7,2035,5104968.0,0.0,2355120.5760925924,0,1579552,9039640.576092593
7,7,2036,5118954.21369863,0.0,1699830.8425925926,0,1239909,8058694.056291223
7,7,2037,5104968.0,0.0,1695989.8247685186,0,1173811,7974768.824768519
7,7,2038,5104968.0,0.0,1695991.1118055556,0,1540983,8341942.111805555
7,7,2039,5104968.0,0.0,1695989.7136574076,0,1254694,8055651.713657407
7,7,2040,5118954.21369863,0.0,1699830.9641203703,0,1768917,8587702.177819
7,7,2041,5104968.0,0.0,1368011.4594907407,0,1192265,7665244.459490741
7,7,2042,5104968.0,0.0,2671859.686574074,0,1696067,9472894.686574074
7,7,2043,5104968.0,0.0,1548794.8287037036,0,1111380,7765142.828703703
7,7,2044,5118954.21369863,0.0,1699829.6722222222,0,1655544,8474327.885920852
7,7,2045,5104968.0,0.0,1695991.9136574075,0,1514558,8315517.913657407
7,7,2046,5104968.0,0.0,1843186.7881944445,0,1563162,8511316.788194444
8,8,2017,5104968.0,0.0,1408579.0523148149,0,743297,7256844.052314815
8,8,2018,5104968.0,0.0,1695990.4506944444,0,1784575,8585533.450694444
8,8,2019,5104968.0,0.0,2401263.1278981483,0,1496812,9003043.12789815
8,8,2020,5118954.21369863,0.0,1552635.0513888889,0,1517006,8188595.265087519
8,8,2021,5104968.0,0.0,2483476.6680462966,0,1472239,9060683.668046296
8,8,2022,5104968.0,0.0,1695990.6090277778,0,1838563,8639521.609027777
8,8,2023,5104968.0,0.0,1548794.438425926,0,1519109,8172871.4384259265
8,8,2024,5118954.21369863,0.0,1552634.2886574075,0,1314081,7985669.5023560375
8,8,2025,5104968.0,0.0,1695989.536574074,0,1328128,8129085.536574074
8,8,2026,5104968.0,0.0,2491032.348462963,0,1610958,9206958.348462963
8,8,2027,5104968.0,0.0,2545449.3783888887,0,1668296,9318713.37838889
8,8,2028,5118954.21369863,0.0,1847026.437037037,0,1340918,8306898.650735667
8,8,2029,5104968.0,0.0,1548795.0064814815,0,1544894,8198657.006481482
8,8,2030,5104968.0,0.0,1695990.6409722222,0,1806583,8607541.640972223
8,8,2031,5104968.0,0.0,2469631.42637963,0,1824310,9398909.42637963
8,8,2032,5118954.21369863,0.0,1552634.1756944444,0,1508301,8179889.389393074
8,8,2033,5104968.0,0.0,2326469.6987962965,0,1421019,8852456.698796296
8,8,2034,5104968.0,0.0,1990379.3863425925,0,1518765,8614112.386342593
8,8,2035,5104968.0,0.0,1401598.3606481482,0,975056,7481622.360648148
8,8,2036,5118954.21369863,0.0,2489403.8276203703,0,1586522,9194880.041319001
8,8,2037,5104968.0,0.0,1695989.5907407408,0,1574868,8375825.59074074
8,8,2038,5104968.0,0.0,2493345.663324074,0,1868268,9466581.663324073
8,8,2039,5104968.0,0.0,1772194.9016203703,0,1872695,8749857.90162037
8,8,2040,5118954.21369863,0.0,1699830.3143518518,0,1030183,7848967.528050482
8,8,2041,5104968.0,0.0,1695990.306712963,0,1625082,8426040.306712963
8,8,2042,5104968.0,0.0,1695989.8590277778,0,1162293,7963250.859027778
8,8,2043,5104968.0,0.0,1695989.9997685186,0,1432700,8233657.999768519
8,8,2044,5118954.21369863,0.0,1699831.362962963,0,1744623,8563408.576661594
8,8,2045,5104968.0,0.0,1548793.5657407409,0,1289057,7942818.565740741
8,8,2046,5104968.0,0.0,2270521.1838703705,0,1453050,8828539.183870371
9,9,2017,5104968.0,0.0,1445934.8729166668,0,780108,7331010.872916667
9,9,2018,5104968.0,0.0,1695990.3284722222,0,1826191,8627149.328472223
9,9,2019,5104968.0,0.0,1695990.29375,0,1759464,8560422.29375
9,9,2020,5118954.21369863,0.0,1405438.3284722222,0,1079283,7603675.542170852
9,9,2021,5104968.0,0.0,2486415.6033703703,0,1529075,9120458.60337037
9,9,2022,5104968.0,0.0,1691070.40625,0,1358789,8154827.40625
9,9,2023,5104968.0,0.0,1548793.6935185185,0,1494007,8147768.6935185185
9,9,2024,5118954.21369863,0.0,1552634.1421296296,0,1106470,7778058.35582826
9,9,2025,5104968.0,0.0,1842913.0569444445,0,1618457,8566338.056944445
9,9,2026,5104968.0,0.0,1548794.4837962964,0,1523936,8177698.483796297
9,9,2027,5104968.0,0.0,1695988.9356481482,0,1483681,8284637.935648148
9,9,2028,5118954.21369863,0.0,1699830.6150462963,0,1471244,8290028.8287449265
9,9,2029,5104968.0,0.0,2346811.632111111,0,1337455,8789234.632111112
