run,random_seed,year,Crew Transfer Vessel 1,Crew Transfer Vessel 2,Jack-up Vessel 1,Jack-up Vessel 2
1,1,2017,909940.3588842315,909941.2931345053,4988984.027777778,4068970.138888889
1,1,2018,912439.3451929736,912443.342954407,6337690.277777778,4765753.703703703
1,1,2019,912445.273141982,912445.5990095764,3978862.9629629627,5427829.62962963
1,1,2020,914946.6289334722,914947.4144306674,4020924.5370370373,4459373.37962963
1,1,2021,912446.1028897034,912446.0177847805,2566348.1481481483,3870145.8333333335
1,1,2022,912446.1975880788,912450.7758364052,6602165.509259259,3301194.212962963
1,1,2023,912443.6471518327,912448.0177543962,1995264.8148148148,2092500.0
1,1,2024,914949.3155173499,914945.9377865323,1917028.4722222222,2413333.3333333335
1,1,2025,912444.122740667,912445.7160293631,4044181.712962963,6130898.611111111
1,1,2026,912445.2921431251,912442.5254175855,9005924.074074075,8851042.592592593
2,2,2017,909943.6677908611,909939.2785787208,5933255.555555555,5867554.398148148
2,2,2018,912449.1644067356,912447.4793647199,2533903.4722222225,1992328.7037037036
2,2,2019,912444.3222361766,912443.4061091939,4050585.4166666665,3949009.2592592593
2,2,2020,914947.7982736682,914961.0220307682,6380403.240740741,4575549.768518519
2,2,2021,912454.3870660744,912447.7414928337,5845116.435185186,8704670.601851853
2,2,2022,912448.6927908405,912447.1770473337,4106810.6481481483,4492774.768518519
2,2,2023,912445.2268810954,912442.3592615647,2540981.25,2646757.4074074076
2,2,2024,914940.7747385536,914939.6375945822,3095087.962962963,1920862.2685185187
2,2,2025,912442.3668380522,912444.805042092,7710281.712962963,4038792.361111111
2,2,2026,912446.329701357,912442.9603655126,6485370.833333333,6155079.398148148
3,3,2017,909938.012700798,909938.3975292448,4647059.953703703,1904316.6666666667
3,3,2018,912455.9662577894,912450.6079707548,4540590.972222222,7164166.666666667
3,3,2019,912443.2891919836,912448.2080531885,6726484.490740741,4835342.12962963
3,3,2020,914946.9023629728,914948.1915815073,4516608.796296297,6577796.759259259
3,3,2021,912445.1414213348,912442.852452917,4348046.527777778,6388162.5
3,3,2022,912449.1292064646,912447.991684578,7485003.240740741,6511188.194444445
3,3,2023,912442.184306724,912439.8883119866,3629593.75,4811163.888888889
3,3,2024,914941.5980138072,914947.8592583511,2179575.462962963,2024019.9074074072
3,3,2025,912443.1035687433,912442.0400073109,3946910.8796296297,5395755.324074074
3,3,2026,912442.1061405637,912442.7824802193,4965679.861111111,6695218.518518519
4,4,2017,909936.4582282116,909939.8376140771,9828047.453703703,6501457.175925926
4,4,2018,912447.5933869367,912447.5928892884,8645023.842592593,10927816.203703703
4,4,2019,912443.6482426971,912449.8080625344,2436846.527777778,4027867.824074074
4,4,2020,914947.5480733409,914946.1833940373,4360129.62962963,5938017.12962963
4,4,2021,912448.1096863268,912444.6988738739,3964537.2685185187,2605817.1296296297
4,4,2022,912445.5254569688,912447.5931648685,7478816.666666667,6316549.305555555
4,4,2023,912447.3291224194,912447.8820467942,2459846.064814815,3054893.75
4,4,2024,914944.3630052689,914946.4730141116,3980898.1481481483,5591988.657407408
4,4,2025,912448.0504517325,912444.8918448421,7872889.12037037,3944814.1203703703
4,4,2026,912446.1071383919,912446.0091147517,8011226.62037037,8387829.861111111
5,5,2017,909940.2291301249,909934.166876311,1935320.8333333333,1994814.351851852
5,5,2018,912448.2244224699,912450.2203153992,4735603.472222222,1923181.0185185187
5,5,2019,912440.4805765138,912441.5261323855,6026230.092592592,4947229.398148148
5,5,2020,914944.9265533028,914949.5253203658,3919915.5092592593,2796243.0555555555
5,5,2021,912446.0140769958,912454.7623203006,1922320.601851852,3828465.046296296
5,5,2022,912448.8373412524,912449.4798315768,5532268.287037037,4135264.3518518517
5,5,2023,912445.3418569413,912442.892589044,1979061.111111111,2023279.398148148
5,5,2024,914944.4524864502,914943.2881481013,6896842.12962963,3130433.796296296
5,5,2025,912444.1567737783,912447.8010445372,4195550.231481481,6995815.972222222
5,5,2026,912441.7154477452,912439.8108219324,7746004.398148148,6608896.527777778
6,6,2017,909936.9330838367,909935.535819028,4473150.462962963,4504236.574074075
6,6,2018,912446.5593469485,912443.8841888015,3433652.0833333335,5716862.5
6,6,2019,912445.5833497428,912445.0511959794,2361042.361111111,4861141.666666667
6,6,2020,914943.6479815067,914941.2384030373,6798719.675925926,5891048.148148148
6,6,2021,912446.1772305861,912443.1715522233,5711291.666666667,4599220.138888889
6,6,2022,912446.9964615622,912447.6988380126,5099898.37962963,3964232.638888889
6,6,2023,912442.0511650948,912446.6863375597,4324556.018518519,2162500.0
6,6,2024,914945.7063113047,914944.0221841742,2075268.9814814813,3982025.925925926
6,6,2025,912444.0469216079,912445.5778102173,9101515.50925926,4201667.12962963
6,6,2026,912445.5241857746,912445.6880645943,5158481.25,4073213.888888889
7,7,2017,909934.2352876893,909937.0530524089,2039816.898148148,2212083.3333333335
7,7,2018,912445.0221678348,912448.7909951808,3884377.546296296,2549932.175925926
7,7,2019,912446.305992998,912444.3512374803,2025261.1111111112,2647446.7592592593
7,7,2020,914946.5752009022,914945.7179959539,8923247.222222222,7144612.037037037
7,7,2021,912443.0669503339,912444.1899926871,9513481.712962963,5053909.027777778
7,7,2022,912449.0328363854,912449.7889568212,3929843.5185185187,6577777.314814814
7,7,2023,912447.1886188238,912442.0356014088,7421813.657407408,5018406.712962963
7,7,2024,914949.1498215143,914942.242243195,6746862.268518519,4304912.268518519
7,7,2025,912444.4394292135,912446.6401579248,4187681.7129629627,4339934.953703703
7,7,2026,912446.0352800891,912447.7018460782,6649197.685185185,3936428.703703704
8,8,2017,909936.6443903202,909935.5272979585,2092500.0,0.0
8,8,2018,912444.6756796275,912447.6603117771,5048014.12037037,4523905.324074075
8,8,2019,912447.335667415,912445.3451439992,5903409.259259259,6080222.453703703
8,8,2020,914945.9040969476,914947.9066166881,8684836.574074075,5064718.518518519
8,8,2021,912445.9831230816,912447.4536131112,7476616.203703703,5973004.861111111
8,8,2022,912450.6117816152,912445.027317547,5185444.212962963,6003292.824074074
8,8,2023,912447.1808797435,912448.1652079911,4689017.824074074,2288062.5
8,8,2024,914941.3732463481,914945.8168134146,4026595.8333333335,4105454.3981481483
8,8,2025,912446.0705147776,912446.5819780007,5849513.194444444,8168377.314814814
8,8,2026,912446.895645415,912448.6772642417,9391681.712962963,6941359.259259259
9,9,2017,909937.0592992363,909939.96402565,6945648.37962963,10124703.24074074
9,9,2018,912447.2227625442,912442.3861550116,9832310.648148147,4512290.509259259
9,9,2019,912444.3634834829,912445.8885654393,2157802.546296296,3907683.3333333335
9,9,2020,914944.2775172505,914947.2236159147,3997536.111111111,5029959.259259259
9,9,2021,912448.6543540222,912447.8663139929,10507323.611111112,8576919.675925925
9,9,2022,912444.7024122626,912445.0722273911,5637310.416666667,4603676.157407408
9,9,2023,912439.8680913916,912440.1111096169,4775859.953703703,5806312.5
9,9,2024,914943.3701673222,914943.4568594844,7280570.833333333,3954516.8981481483
9,9,2025,912440.5723415446,912440.5535447045,6439459.259259259,9148071.99074074
9,9,2026,912445.8079094443,912440.0337794536,1950929.861111111,2824183.101851852
10,10,2017,909942.0334070364,909938.9554879332,3835327.314814815,3975505.5555555555
10,10,2018,912443.97102102,912444.3857366213,6206966.898148148,4320832.407407408
10,10,2019,912449.363018235,912444.6734032024,2593855.5555555555,1953460.8796296297
10,10,2020,914948.6538604342,914944.611317205,7783737.962962963,7606087.037037037
10,10,2021,912450.8500936279,912450.35829083,3830417.592592593,5909993.518518519
10,10,2022,912447.1351751871,912444.9207234884,4445359.490740741,3901809.4907407407
10,10,2023,912443.9511052094,912441.6412133621,4174681.4814814813,4171406.712962963
10,10,2024,914950.3371770575,914944.745932539,6004995.833333333,6207248.148148148
10,10,2025,912444.1272733528,912444.0356815786,0.0,2574215.046296296
10,10,2026,912450.0026291257,912449.4111869849,8848718.981481481,7991628.935185185
11,11,2017,909939.2260569563,909936.5317373462,5497166.203703703,4798473.842592592
11,11,2018,912441.5505042825,912441.5607255868,4600809.722222222,5638665.046296297
11,11,2019,912445.5200198697,912446.3253783295,4522555.555555555,2568349.3055555555
11,11,2020,914941.1361314383,914946.061579136,2860657.638888889,4102114.814814815
11,11,2021,912447.4027896931,912448.6929993499,13157249.768518519,6545502.777777778
11,11,2022,912448.1287444881,912449.0249840419,1998810.1851851852,4801951.157407408
11,11,2023,912443.7514345018,912447.5027224005,4839973.148148148,2292750.2314814813
11,11,2024,914944.3816469865,914941.9711330481,0.0,2037511.1111111112
11,11,2025,912446.439560549,912446.5260999365,9156997.685185185,10035071.527777778
11,11,2026,912447.623658189,912440.2053946212,6697819.212962963,4651068.75
12,12,2017,909936.795153117,909939.2293615389,8270037.731481481,6946806.944444444
12,12,2018,912444.79965722,912447.3418664533,7181003.240740741,6624238.194444444
12,12,2019,912447.7301819039,912448.7302249232,8224147.222222222,5909536.574074074
12,12,2020,914944.8015462722,914945.6402625802,3944130.324074074,8603651.851851853
12,12,2021,912445.4861449006,912448.4615414558,3206645.6018518517,1900000.0
12,12,2022,912443.5455500465,912448.4989257666,5948190.509259259,5868802.083333333
12,12,2023,912448.8113827643,912444.1795207568,9075729.629629629,6181109.027777778
12,12,2024,914940.6280786684,914947.0169918394,4517639.351851852,6947178.009259259
12,12,2025,912441.8535221497,912443.8532705747,6561293.287037037,5208064.583333333
12,12,2026,912441.6365199414,912448.8969698108,3998364.1203703703,9686694.444444444
13,13,2017,909935.7493057944,909936.456047235,1927074.7685185187,1999241.2037037038
13,13,2018,912445.9206375815,912449.887634538,6520336.805555556,5899117.592592592
13,13,2019,912451.0676561885,912444.3001319005,6576114.12037037,4630229.166666667
13,13,2020,914945.0286315657,914946.0060083049,5974424.305555556,6870007.87037037
13,13,2021,912447.0094110959,912447.8976008431,3937961.574074074,1964798.611111111
13,13,2022,912445.888679876,912450.8435599699,1987657.1759259258,6963775.694444445
13,13,2023,912446.8790769636,912442.3646730334,2746322.685185185,3810462.0370370373
13,13,2024,914942.3338296651,914948.6692631156,3263360.8796296297,6704212.5
13,13,2025,912445.8803167149,912448.5360950187,2988879.1666666665,4330282.407407408
13,13,2026,912443.8791438539,912446.3290480613,3935407.8703703703,3936015.5092592593
14,14,2017,909939.2253170678,909937.088585949,4951064.12037037,4593795.138888889
14,14,2018,912446.8241178135,912449.6980209191,4179375.0,1925305.3240740742
14,14,2019,912447.9490066803,912448.9939323995,7824542.824074074,11243340.50925926
14,14,2020,914944.5929362993,914947.9479457497,4313592.592592592,4561569.212962963
14,14,2021,912446.1878649549,912446.9785856945,5290640.277777778,8133635.87962963
14,14,2022,912443.4969913079,912448.4752257342,5052071.527777778,2275013.657407407
14,14,2023,912444.6479203732,912447.3284598103,5254591.898148148,8648612.268518519
14,14,2024,914954.9928513946,914946.248891106,6633738.425925926,6030377.314814815
14,14,2025,912438.7686490997,912443.8270568207,5370469.444444444,5148571.064814815
14,14,2026,912441.6748540372,912444.9388967266,4532438.194444445,3142553.472222222
15,15,2017,909934.873129287,909933.5286407737,3428960.4166666665,3938213.657407407
15,15,2018,912445.8096363336,912445.1657429975,6089725.0,3924091.203703704
15,15,2019,912446.2143440034,912446.3436174147,1939504.6296296297,5966094.907407408
15,15,2020,914946.2887256689,914945.9832413642,4407381.25,4329626.157407408
15,15,2021,912445.2099059875,912445.330652276,3824747.916666667,6188148.842592592
15,15,2022,912447.1042389802,912446.0263937507,4767819.675925926,3628720.3703703703
15,15,2023,912444.6983403169,912443.8473090047,3924473.611111111,6779413.194444444
15,15,2024,914945.126070093,914947.8651731433,2743687.037037037,3940677.314814815
15,15,2025,912441.488035429,912442.6244753613,9153531.944444444,4640559.027777778
15,15,2026,912442.1064281554,912447.3757343704,1980524.3055555555,6120950.462962963
16,16,2017,909937.9216805595,909940.2545164609,5128669.675925926,1970717.8240740742
16,16,2018,912444.5989484366,912441.9253945305,3053463.888888889,1959968.287037037
16,16,2019,912447.269203751,912441.7087187341,3883606.25,5549154.861111111
16,16,2020,914953.6262658292,914947.4544115227,5796780.787037037,6189858.333333333
16,16,2021,912444.5807483526,912444.4958772252,4158589.5833333335,2825573.3796296297
16,16,2022,912450.0436092974,912448.2089152561,8504341.898148147,7188747.685185186
16,16,2023,912445.3451989586,912445.3100570666,8749763.888888888,6310270.37037037
16,16,2024,914940.8767454717,914943.7473751056,8154015.277777778,5194882.87037037
16,16,2025,912441.7700728722,912439.1988474048,4089377.0833333335,8876638.888888888
16,16,2026,912444.9853667507,912442.3074120904,2011458.7962962962,3866941.6666666665
17,17,2017,909938.8694497014,909938.0307126315,5803376.388888889,4014089.814814815
17,17,2018,912447.9972135416,912449.2275463515,1928350.0,4004699.7685185187
17,17,2019,912446.9233941628,912441.6019289952,12074004.629629629,10533533.101851853
17,17,2020,914942.1616178494,914949.2637469762,9272810.416666666,7061090.046296297
17,17,2021,912442.691532614,912447.6905078657,2361348.611111111,5649419.444444445
17,17,2022,912447.2471522718,912445.360350378,2966341.435185185,1990510.648148148
17,17,2023,912446.2884092005,912452.094215367,9412837.962962963,6318198.842592592
17,17,2024,914943.1716970288,914942.8437681337,6048452.546296297,6461460.648148148
17,17,2025,912437.6411372795,912443.2854973883,3964464.3518518517,6108428.935185185
17,17,2026,912443.97358848,912445.6151891305,9428114.12037037,7893510.87962963
18,18,2017,909937.9616389964,909937.8611032255,4034981.25,2744206.4814814813
18,18,2018,912444.953397225,912448.775084058,4417289.814814814,7262018.518518519
18,18,2019,912446.9434128652,912441.4409213674,2165416.6666666665,1932990.7407407407
18,18,2020,914944.6368655423,914945.297669617,2410424.7685185187,5573787.037037037
18,18,2021,912446.3630702754,912449.0003601651,6194269.675925925,6976438.657407408
18,18,2022,912447.3708460295,912447.6255562648,4312646.296296297,5349524.537037037
18,18,2023,912442.7479345553,912446.3945905379,4061040.0462962966,2025517.1296296297
18,18,2024,914943.9127161887,914940.445001308,5994841.898148148,6602142.824074074
18,18,2025,912444.2018222492,912441.9859907047,8416426.851851853,6432556.481481481
18,18,2026,912441.8162928718,912443.5326498267,5267707.175925925,3904805.5555555555
19,19,2017,909937.0761133188,909938.7428360836,7660306.25,4006968.287037037
19,19,2018,912445.970496219,912448.3377857647,4064774.3055555555,4456969.444444445
19,19,2019,912451.5943243033,912449.4545316721,4061838.1944444445,1906669.4444444445
19,19,2020,914948.2405418322,914943.3327239417,3394512.0370370373,1947825.2314814813
19,19,2021,912447.5896524102,912443.4869705301,2563044.212962963,2007670.3703703703
19,19,2022,912448.6575160918,912446.2058482895,2092500.0,1997233.5648148148
19,19,2023,912445.7757403293,912448.1106904934,0.0,2278241.435185185
19,19,2024,914942.5620492977,914945.9459103077,4860900.231481481,5764989.12037037
19,19,2025,912445.5187047115,912445.180211089,7457202.546296296,4068579.6296296297
19,19,2026,912444.1504349555,912441.1047606469,7894026.851851852,5846000.231481481
20,20,2017,909937.8856046244,909943.1248168976,2069166.6666666667,2212012.0370370373
20,20,2018,912440.8449267787,912446.422718645,2333594.907407407,1917148.3796296297
20,20,2019,912445.5976697288,912445.390733639,8063026.62037037,5619946.527777778
20,20,2020,914950.9731424856,914945.533964916,2002969.6759259258,4008076.6203703703
20,20,2021,912450.0218158462,912446.6238270529,4454305.555555556,3991503.472222222
20,20,2022,912451.4242417564,912448.7081288494,6892978.240740741,5645819.675925926
20,20,2023,912446.3646108491,912445.2257206118,4045160.4166666665,4910742.12962963
20,20,2024,914945.5059754727,914944.1488732221,5768087.268518519,3953278.935185185
20,20,2025,912441.3709357196,912441.1724697059,2001723.6111111112,1950451.851851852
20,20,2026,912446.4357404521,912443.8871085343,4561809.027777778,4927286.805555556
21,21,2017,909944.9362932029,909940.2923436166,4540966.203703703,5003711.574074074
21,21,2018,912446.1405153282,912447.4603494122,5811694.675925926,3931575.6944444445
21,21,2019,912441.8641999834,912447.4930467398,6738965.277777778,4415650.0
21,21,2020,914950.9894444895,914946.7490517774,3948834.2592592593,4225058.796296297
21,21,2021,912447.6639470665,912446.5316925023,4569615.972222222,7121372.685185185
21,21,2022,912447.5299851943,912448.1812760476,1922014.351851852,1966530.787037037
21,21,2023,912440.3008880606,912445.3530556662,4730803.935185186,4449062.037037037
21,21,2024,914940.6404191103,914942.8348597457,3953385.8796296297,4443581.944444444
21,21,2025,912443.0559397613,912440.7650672832,4767963.888888889,3968031.712962963
21,21,2026,912446.6009997043,912448.7820893701,4295305.092592592,7777350.462962963
22,22,2017,909937.5297671757,909939.8903345953,8179289.814814814,4024223.611111111
22,22,2018,912445.6972711913,912444.6705938134,4767978.472222222,4299315.509259259
22,22,2019,912452.9652448562,912445.3759868592,4014793.0555555555,6501618.287037037
22,22,2020,914948.1313365351,914951.8166694277,7438015.740740741,3884552.546296296
22,22,2021,912449.8052830836,912451.3102489928,4775774.074074074,4115693.5185185187
22,22,2022,912446.1630409369,912445.9573338516,5308013.888888889,5906356.712962963
22,22,2023,912441.8324369262,912441.1204071472,1950142.361111111,3071134.722222222
22,22,2024,914944.6603693948,914940.9170903652,4624256.481481481,7501452.546296297
22,22,2025,912442.9261385035,912444.765979899,7541654.62962963,4002557.638888889
22,22,2026,912440.674770197,912447.3243737365,0.0,1919768.5185185184
23,23,2017,909941.5826283148,909939.3538820547,7077555.555555556,3591856.25
23,23,2018,912447.1545863104,912445.0506137505,2021845.3703703703,2175881.0185185187
23,23,2019,912444.4784559258,912445.9957690879,6103146.527777778,7151625.0
23,23,2020,914945.8259893197,914945.4139044691,1949371.0648148148,1918170.8333333333
23,23,2021,912446.329408867,912451.970761647,1972458.101851852,4046638.1944444445
23,23,2022,912448.2795462025,912449.3259662782,6132415.277777778,5973147.453703703
23,23,2023,912445.0647121142,912450.4044642531,6271277.777777778,5954851.851851852
23,23,2024,914940.7339453592,914942.9168640049,5812217.12962963,4359575.462962963
23,23,2025,912446.1596207632,912446.2539769734,5800183.564814815,3953296.7592592593
23,23,2026,912439.9792191064,912443.7855279918,5542405.324074074,6309614.12037037
24,24,2017,909938.97808695,909939.172517495,2929818.9814814813,4157945.6018518517
24,24,2018,912447.8529510441,912445.3524875776,8007055.092592592,6734702.083333333
24,24,2019,912445.3594467668,912446.5697799672,6350572.222222222,5476977.083333333
24,24,2020,914942.5946265617,914941.8511299995,4634965.509259259,6879071.527777778
24,24,2021,912445.6317602089,912451.6035697086,4495419.212962963,5869702.314814815
24,24,2022,912448.720674554,912445.8061031256,6397418.75,6594040.277777778
24,24,2023,912446.1719975974,912444.1294560588,2320824.7685185187,4469865.277777778
24,24,2024,914943.5831329348,914946.3276859376,0.0,1951778.9351851852
24,24,2025,912444.679327621,912440.9049900667,2040220.3703703703,1952945.601851852
24,24,2026,912444.3051949842,912442.8318894663,9730695.601851853,6223640.509259259
25,25,2017,909934.2117470453,909939.2656522873,6506948.611111111,2028437.037037037
25,25,2018,912446.421814606,912443.6541115112,4687601.62037037,6378390.740740741
25,25,2019,912445.7254630825,912448.7029823883,5094324.305555556,3514687.7314814813
25,25,2020,914941.760384689,914944.8422003072,1967663.4259259258,3808907.175925926
25,25,2021,912451.5139918172,912446.9029793964,2005651.388888889,1980021.9907407407
25,25,2022,912445.7038226784,912449.8233369113,6982101.157407408,4434827.083333333
25,25,2023,912441.7517133147,912444.7818673755,4210162.731481481,3936180.7870370373
25,25,2024,914945.1305538621,914942.9795598912,4204032.87037037,7494708.564814814
25,25,2025,912443.8727530434,912445.1804752274,5081860.416666667,5591191.435185186
